iter	Passed	Remaining
243	543	1684
244	545	1679
245	546	1675
246	560	1708
247	561	1703
248	563	1700
249	565	1696
250	567	1692
251	568	1687
252	570	1683
253	571	1678
254	573	1674
255	575	1672
256	576	1667
257	591	1700
258	592	1696
259	594	1691
260	595	1687
261	597	1682
262	599	1678
263	600	1674
264	602	1670
265	603	1665
266	605	1661
267	607	1659
268	609	1655
269	610	1651
270	612	1646
271	613	1642
272	615	1638
273	616	1634
274	618	1630
275	619	1625
276	621	1622
277	623	1620
278	625	1616
279	627	1612
280	628	1608
281	630	1604
282	631	1600
283	633	1597
284	634	1592
285	636	1589
286	638	1587
287	640	1583
288	641	1579
289	643	1575
290	645	1571
291	646	1568
292	648	1564
293	649	1560
294	651	1556
295	652	1552
296	655	1550
297	656	1546
298	658	1543
299	659	1539
300	661	1535
301	662	1531
302	664	1528
303	665	1524
304	667	1520
305	668	1517
306	671	1515
307	672	1511
308	674	1507
309	675	1504
310	677	1500
311	678	1497
312	680	1493
313	682	1490
314	683	1486
315	685	1484
316	687	1481
317	689	1477
318	690	1474
319	692	1470
320	693	1467
321	695	1463
322	696	1460
323	698	1456
324	699	1453
325	701	1450
326	703	1447
327	705	1444
328	706	1441
329	708	1438
330	710	1435
331	712	1433
332	714	1430
333	715	1427
334	718	1426
335	720	1423
336	722	1421
337	724	1418
338	726	1416
339	728	1413
340	729	1410
341	732	1408
342	735	1408
343	737	1406
344	739	1403
345	741	1401
346	743	1398
347	745	1396
348	748	1396
349	750	1393
350	752	1390
351	754	1388
352	756	1385
353	757	1382
354	759	1380
355	761	1377
356	763	1375
357	765	1373
358	767	1369
359	768	1366
360	770	1363
361	771	1360
362	773	1357
363	775	1354
364	777	1352
365	779	1350
366	781	1347
367	782	1344
368	784	1341
369	785	1338
370	787	1335
371	788	1331
372	790	1328
373	792	1325
374	793	1322
375	795	1320
376	797	1317
377	798	1314
378	800	1311
379	801	1308
380	803	1305
381	805	1302
382	806	1299
383	808	1296
384	809	1293
385	811	1291
386	813	1288
387	814	1285
388	816	1282
389	818	1279
390	819	1276
391	821	1273
392	822	1270
393	824	1268
394	826	1265
395	828	1263
396	829	1260
397	831	1257
398	832	1254
399	834	1251
400	835	1248
401	837	1245
402	839	1243
403	840	1240
404	842	1237
405	844	1235
406	846	1232
407	847	1230
408	849	1227
409	850	1224
410	852	1221
411	854	1218
412	855	1216
413	857	1213
414	859	1211
415	860	1208
416	862	1205
417	864	1203
418	865	1200
419	867	1197
420	868	1194
421	870	1192
422	871	1189
423	873	1186
424	875	1184
425	877	1181
426	878	1179
427	880	1176
428	882	1174
429	883	1171
430	885	1168
431	886	1165
432	888	1163
433	890	1160
434	891	1158
435	893	1155
436	894	1152
437	896	1150
438	898	1147
439	899	1144
440	901	1142
441	902	1139
442	904	1136
443	905	1134
444	907	1132
445	909	1129
446	910	1126
447	912	1124
448	913	1121
449	915	1119
450	917	1116
451	918	1113
452	920	1110
453	921	1108
454	924	1107
455	926	1104
456	927	1102
457	929	1099
458	930	1097
459	932	1094
460	933	1091
461	935	1089
462	937	1086
463	939	1084
464	940	1082
465	942	1079
466	943	1077
467	945	1074
468	947	1072
469	949	1070
470	950	1067
471	952	1065
472	954	1063
473	956	1061
474	957	1058
475	959	1056
476	961	1053
477	962	1051
478	964	1048
479	965	1046
480	967	1043
481	969	1042
482	971	1039
483	972	1037
484	974	1034
485	975	1032
486	977	1029
487	978	1027
488	980	1024
489	982	1022
490	983	1019
491	985	1017
492	987	1015
493	988	1012
494	990	1010
495	992	1008
496	993	1005
497	995	1003
498	997	1001
499	998	998
500	1000	996
501	1002	994
502	1004	992
503	1005	989
504	1007	987
505	1008	984
506	1010	982
507	1011	980
508	1013	977
509	1015	975
510	1017	973
511	1019	971
512	1020	969
513	1022	966
514	1023	964
515	1025	961
516	1027	959
517	1028	957
518	1030	954
519	1031	952
520	1033	950
521	1035	948
522	1037	945
523	1038	943
524	1040	941
525	1041	938
526	1043	936
527	1044	933
528	1046	931
529	1047	929
530	1050	927
531	1051	924
532	1052	922
533	1054	920
534	1055	917
535	1057	915
536	1059	913
537	1060	910
538	1062	908
539	1063	906
540	1066	904
541	1067	902
542	1069	899
543	1070	897
544	1072	895
545	1073	892
546	1075	890
547	1076	888
548	1078	885
549	1079	883
550	1081	881
551	1083	879
552	1084	876
553	1086	874
554	1087	872
555	1089	870
556	1091	867
557	1092	865
558	1094	863
559	1095	860
560	1097	859
561	1099	856
562	1101	854
563	1102	852
564	1104	850
565	1105	847
566	1107	845
567	1108	843
568	1110	840
569	1112	838
570	1113	836
571	1115	834
572	1117	832
573	1119	830
574	1120	828
575	1122	826
576	1124	824
577	1125	821
578	1127	819
579	1129	817
580	1131	815
581	1132	813
582	1134	811
583	1136	809
584	1137	807
585	1139	804
586	1140	802
587	1142	800
588	1144	798
589	1146	796
590	1147	794
591	1149	792
592	1151	790
593	1152	787
594	1154	785
595	1155	783
596	1157	781
597	1158	778
598	1160	777
599	1162	775
600	1164	772
601	1165	770
602	1167	768
603	1168	766
604	1170	764
605	1171	761
606	1173	759
607	1174	757
608	1177	755
609	1179	753
610	1180	751
611	1182	749
612	1183	747
613	1185	745
614	1187	743
615	1188	740
616	1190	738
617	1192	737
618	1194	735
619	1196	733
620	1197	730
621	1199	728
622	1200	726
623	1202	724
624	1203	722
625	1205	720
626	1206	718
627	1208	716
628	1210	714
629	1212	711
630	1213	709
631	1215	707
632	1216	705
633	1218	703
634	1219	701
635	1221	699
636	1222	696
637	1225	695
638	1226	693
639	1228	690
640	1229	688
641	1231	686
642	1233	684
643	1234	682
644	1236	680
645	1237	678
646	1239	676
647	1241	674
648	1243	672
649	1245	670
650	1246	668
651	1248	666
652	1249	664
653	1251	662
654	1253	660
655	1254	658
656	1256	656
657	1258	654
658	1260	652
659	1261	649
660	1263	647
661	1264	645
662	1266	643
663	1267	641
664	1269	639
665	1271	637
666	1273	635
667	1275	633
668	1276	631
669	1278	629
670	1279	627
671	1281	625
672	1282	623
673	1284	621
674	1286	619
675	1288	617
676	1289	615
677	1291	613
678	1293	611
679	1294	609
680	1296	607
681	1297	605
682	1299	603
683	1300	600
684	1302	599
685	1304	597
686	1306	595
687	1307	593
688	1309	591
689	1311	589
690	1312	586
691	1314	585
692	1316	583
693	1317	581
694	1320	579
695	1321	577
696	1323	575
697	1324	573
698	1326	571
699	1328	569
700	1329	567
701	1331	565
702	1332	563
703	1335	561
704	1336	559
705	1338	557
706	1339	555
707	1341	553
708	1342	551
709	1344	549
710	1346	547
711	1347	545
712	1349	543
713	1351	541
714	1352	539
715	1354	537
716	1355	535
717	1357	533
718	1359	531
719	1360	529
720	1362	527
721	1363	525
722	1365	523
723	1367	521
724	1369	519
725	1370	517
726	1372	515
727	1374	513
728	1375	511
729	1377	509
730	1378	507
731	1380	505
732	1382	503
733	1384	501
734	1385	499
735	1387	497
736	1389	495
737	1390	493
738	1392	491
739	1393	489
740	1395	487
741	1396	485
742	1399	483
743	1400	481
744	1402	479
745	1404	478
746	1405	476
747	1407	474
748	1408	472
749	1410	470
750	1412	468
751	1413	466
752	1415	464
753	1417	462
754	1419	460
755	1420	458
756	1422	456
757	1423	454
758	1425	452
759	1426	450
760	1428	448
761	1430	446
762	1432	444
763	1433	442
764	1435	440
765	1436	438
766	1438	436
767	1439	434
768	1441	433
769	1443	431
770	1444	429
771	1446	427
772	1448	425
773	1450	423
774	1451	421
775	1453	419
776	1454	417
777	1456	415
778	1457	413
779	1459	411
780	1461	409
781	1463	407
782	1464	405
783	1466	403
784	1467	402
785	1469	400
786	1471	398
787	1472	396
788	1474	394
789	1475	392
790	1477	390
791	1479	388
792	1481	386
793	1482	384
794	1484	382
795	1485	380
796	1487	378
797	1488	376
798	1490	374
799	1492	373
800	1494	371
801	1495	369
802	1497	367
803	1498	365
804	1500	363
805	1502	361
806	1503	359
807	1505	357
808	1506	355
809	1508	353
810	1511	352
811	1512	350
812	1514	348
813	1515	346
814	1517	344
815	1518	342
816	1520	340
817	1522	338
818	1523	336
819	1526	335
820	1527	333
821	1529	331
822	1530	329
823	1532	327
824	1534	325
825	1535	323
826	1537	321
827	1538	319
828	1540	317
829	1542	315
830	1544	314
831	1545	312
832	1547	310
833	1548	308
834	1550	306
835	1552	304
836	1553	302
837	1555	300
838	1557	298
839	1559	296
840	1560	295
841	1562	293
842	1563	291
843	1565	289
844	1567	287
845	1568	285
846	1570	283
847	1571	281
848	1586	282
849	1588	280
850	1590	278
851	1592	276
852	1593	274
853	1595	272
854	1596	270
855	1598	268
856	1600	267
857	1601	265
858	1603	263
859	1605	261
860	1607	259
861	1608	257
862	1610	255
863	1611	253
864	1613	251
865	1615	249
866	1616	248
867	1618	246
868	1620	244
869	1622	242
870	1623	240
871	1625	238
872	1626	236
873	1628	234
874	1630	232
875	1631	230
876	1633	229
877	1634	227
878	1636	225
879	1638	223
880	1640	221
881	1641	219
882	1643	217
883	1644	215
884	1646	213
885	1648	212
886	1649	210
887	1651	208
888	1653	206
889	1655	204
890	1656	202
891	1658	200
892	1660	198
893	1661	197
894	1663	195
895	1664	193
896	1666	191
897	1667	189
898	1670	187
899	1671	185
900	1673	183
901	1674	181
902	1676	180
903	1677	178
904	1679	176
905	1680	174
906	1682	172
907	1684	170
908	1686	168
909	1687	166
910	1689	165
911	1690	163
912	1692	161
913	1693	159
914	1695	157
915	1696	155
916	1698	153
917	1699	151
918	1701	150
919	1703	148
920	1705	146
921	1706	144
922	1708	142
923	1710	140
924	1711	138
925	1713	136
926	1714	135
927	1717	133
928	1718	131
929	1720	129
930	1721	127
931	1723	125
932	1725	123
933	1727	122
934	1728	120
935	1730	118
936	1732	116
937	1734	114
938	1736	112
939	1737	110
940	1739	109
941	1741	107
942	1743	105
943	1744	103
944	1746	101
945	1748	99
946	1750	97
947	1752	96
948	1754	94
949	1755	92
950	1757	90
951	1759	88
952	1761	86
953	1762	85
954	1765	83
955	1766	81
956	1768	79
957	1770	77
958	1772	75
959	1774	73
960	1775	72
961	1777	70
962	1779	68
963	1781	66
964	1783	64
965	1785	62
966	1786	60
967	1788	59
968	1790	57
969	1792	55
970	1793	53
971	1795	51
972	1797	49
973	1799	48
974	1801	46
975	1803	44
976	1804	42
977	1806	40
978	1808	38
979	1810	36
980	1812	35
981	1814	33
982	1816	31
983	1818	29
984	1819	27
985	1821	25
986	1822	24
987	1824	22
988	1826	20
989	1828	18
990	1830	16
991	1831	14
992	1833	12
993	1835	11
994	1836	9
995	1838	7
996	1840	5
997	1842	3
998	1844	1
999	1846	0
