iter	RMSE
369	913873493
370	913254161.2
371	912886540.5
372	912286474
373	910591894.5
374	910366884.5
375	909692572.2
376	909337130.4
377	908950251.7
378	907456028.8
379	906496806.8
380	905350081.4
381	904829867
382	904071019.6
383	903855806.2
384	903647950.4
385	903305290
386	903099437.1
387	902905141.2
388	902606412
389	901706973.3
390	900625305.8
391	899799160
392	899202231.9
393	897742741.1
394	897250385.2
395	896958139.1
396	896472773.5
397	896181708.8
398	895242787.8
399	894966393.2
400	894661005.4
401	893766243.6
402	893005094.5
403	892551510.3
404	892243503.9
405	891472753.1
406	890474617.4
407	890147489.5
408	889938488.8
409	889388328.2
410	888384870.4
411	888091930.3
412	887822781.8
413	886932949.6
414	886438683
415	886169272.2
416	885386648.5
417	884576272.7
418	883775955.8
419	883184917
420	882621729.4
421	882254024.1
422	881639002.1
423	881439153.9
424	881240142.3
425	880924763.5
426	880650308
427	879613307.2
428	878186091.8
429	877629914.4
430	876706838.7
431	876513912.8
432	875628421.8
433	875215100.9
434	875033148.7
435	874707557.6
436	874166450.3
437	873457096.2
438	872665506.2
439	872480499.9
440	872009968.4
441	871414220.7
442	870808524.3
443	870495723.6
444	870022477.5
445	869842193
446	869350106.1
447	869065733.1
448	868394701.8
449	867487181.8
450	867010707.6
451	866593687.7
452	866325386.9
453	866146792.9
454	865702422.4
455	864853323.1
456	864394548
457	864114777.1
458	863814830.2
459	863639506.6
460	863314228.2
461	862838802.2
462	862581491
463	862064039.7
464	861894961.4
465	861729159.9
466	861299279.2
467	860580665.3
468	860283513
469	858943904.3
470	857836702.3
471	857671169.2
472	856843618.4
473	855968115.9
474	855528824.7
475	854737321.7
476	853415852.3
477	853179913.3
478	852673079.8
479	851899363.5
480	851000308.6
481	850499951.2
482	850042602.9
483	849633606.2
484	849119712.7
485	848893730.8
486	848732112.6
487	847709389.9
488	847052003.9
489	846882072.6
490	846622445.5
491	846171462.2
492	845290069.6
493	845126345.9
494	844657486.3
495	843957557.2
496	843510996.6
497	842379850.4
498	841853012.4
499	841559744.8
500	841328530.4
501	840629929.9
502	840391793.3
503	840238835.6
504	840028514.4
505	839657265
506	838588469
507	837753332.2
508	836995516
509	836845094.1
510	836238925.2
511	835210386.6
512	834990733.3
513	834239319.5
514	833926175.2
515	833416170.8
516	833173289.7
517	832732511.1
518	832536090.6
519	832292962.2
520	831861500.9
521	831502956
522	830783071.6
523	830635479.6
524	830143712
525	829956413.2
526	829695085.6
527	829550391.7
528	828904462.9
529	828688045
530	828034056.1
531	827891085.5
532	827668685.4
533	827527147.4
534	827313798.3
535	826471708.4
536	826324951
537	825753881.7
538	825612092.3
539	825474640.2
540	825341343.9
541	825137563.5
542	825009411.3
543	824882502.7
544	824759439.9
545	824564441.7
546	824434403.2
547	824310954.9
548	823915004.7
549	823755121.4
550	822719275.4
551	822600283.7
552	822273228
553	822134957.5
554	822008823.1
555	821886472.1
556	821761704
557	821641330.9
558	820849110.8
559	820740956.7
560	820626638.5
561	820450538.9
562	819822294.9
563	819599976.5
564	819058597.6
565	818889951.1
566	818168243.8
567	817903515.4
568	817801171.8
569	816592334.5
570	816482266
571	816108861.7
572	815428018.5
573	814816255.5
574	814464328.9
575	813706741.5
576	813195323.6
577	812893936.6
578	812631445.6
579	812180828.2
580	811834831.5
581	811677455.7
582	811018583
583	810151584.3
584	809777430
585	809578960.7
586	809387070
587	808725015.6
588	807808457.3
589	807048868.6
590	806655647
591	806348775.3
592	805838915.9
593	805570684.9
594	805323615.8
595	805136303.6
596	804981921.7
597	804616205.5
598	804366534.5
599	804076187.1
600	803522839.5
601	803336050.7
602	802990859.2
603	802895441
604	802504256.9
605	802203076.3
606	801866335.7
607	801607750.3
608	801057489.6
609	800799993
610	800618644.1
611	800112222.3
612	799616702.5
613	798971590.4
614	798764649.5
615	798664826.4
616	798431065.3
617	798200192.3
618	797832350.9
619	797735431.4
620	797507872.8
621	797318319.5
622	797149116.7
623	796306250.4
624	796209994
625	795805294.3
626	795702393.8
627	795373624.7
628	794860416.3
629	794667108.2
630	794195901.1
631	793996207.8
632	793190437.1
633	792729238.7
634	792113290.7
635	792025311.5
636	791635065.9
637	791331884
638	791163434.8
639	790619482.1
640	789951570.5
641	789683700.4
642	788946224.6
643	788758445.2
644	788470398.9
645	788377694.8
646	787697930.7
647	786698148.6
648	786347925.7
649	785597819.3
650	785424273.1
651	785256756
652	784493985.6
653	784028720.1
654	783550692.1
655	783287699.2
656	783195062.2
657	782744611.5
658	782566327.7
659	781966875.4
660	781610656.2
661	781054344.6
662	780958529.8
663	780372470.6
664	779391481.1
665	779185802
666	778124615.1
667	777867797.3
668	777616152.2
669	777175218
670	776993466.9
671	776903026.9
672	776738838.4
673	776320002.2
674	776228090.2
675	775629740.9
676	775433828.4
677	775224061.9
678	775000900.6
679	774819799
680	774533838.3
681	774373912.1
682	774031761.8
683	773841415.3
684	773097050.7
685	772544976.1
686	772450772.9
687	772229877.2
688	771985828.9
689	771511980.1
690	771375814.3
691	771198256.4
692	771043089.9
693	770949332.7
694	770670857.2
695	770542201.1
696	770396271.3
697	769816425.3
698	769724197.3
699	769427030.7
700	768973631.6
701	768737698.8
702	768218075.3
703	768082956.8
704	767711898.1
705	767557443.9
706	767467295.8
707	767374708.9
708	767284533.9
709	766606939.2
710	766525613.9
711	766447285.1
712	766287899.7
713	765796337.6
714	765711700.3
715	765576133.7
716	765438359.3
717	765193736.2
718	764654054
719	764131214.4
720	763824029.7
721	763481287.3
722	763214823.6
723	763133413.2
724	762689127.3
725	762242202
726	761885106.3
727	761653163.2
728	761520835.1
729	760787060
730	760129593.8
731	759396276.5
732	759324922
733	759202888.1
734	759075197.9
735	758607665.3
736	758322582.3
737	757731418.8
738	757491349.3
739	756809469.7
740	756513392.1
741	756428988.1
742	755857365.5
743	755553953.3
744	755362990.7
745	755173206.2
746	755094663.3
747	754559801.8
748	754221764.1
749	754064227.2
750	753599415.8
751	753324420.8
752	752519130.5
753	752441698.5
754	752210265.1
755	752065026.6
756	751887210.9
757	751445843.2
758	751343856.4
759	751041997.2
760	750817186
761	750683472.3
762	750044398.3
763	749093690.9
764	748938947.1
765	748524139.2
766	748223055.5
767	748085120.5
768	748016005.7
769	747890681.8
770	747636430.3
771	747501068
772	747110422.1
773	746664131.7
774	746480333.2
775	746405491.2
776	746284738.5
777	746212005.6
778	745861449.6
779	745785712.7
780	745626457.1
781	745500453.2
782	745283846.3
783	744804747.3
784	744672103
785	743922064.7
786	743809722.8
787	743733789.3
788	743655780.4
789	742847008.8
790	742777753
791	742665938.5
792	742516460.7
793	742134489.8
794	742017819.2
795	741320330
796	741062982.3
797	740651673.3
798	740583500.8
799	740266840.1
800	740193836.9
801	740117552.1
802	739967966.8
803	739892647.6
804	739540972.1
805	738871644
806	738810151.2
807	738668921.1
808	738517244.2
809	738448011.5
810	738374895.1
811	738020811.3
812	737852541
813	737382155.5
814	737310963.8
815	736916751.8
816	736848368.9
817	736511948.8
818	736450714.3
819	735979037.4
820	735914033.4
821	735849301.5
822	735713709.5
823	735598989.7
824	735493528.7
825	734832254
826	734360557.4
827	734212986.6
828	734150844.1
829	734016721.3
830	733967337.1
831	733632347.5
832	733563967.1
833	732867341.7
834	732376818.4
835	731887132.7
836	731766206.3
837	731640326.8
838	731309632.4
839	730803699.7
840	730269553.3
841	729892199.3
842	729559864.1
843	729460954.9
844	729016267.3
845	728539381.6
846	728242682.7
847	728013993.2
848	727881945.4
849	727479806.7
850	727420260.1
851	727199188.9
852	726953140.2
853	726826670.6
854	726434605.2
855	725879070.7
856	725815977.6
857	725461985.8
858	725311258.3
859	725198410.3
860	724584304.3
861	724257620.7
862	724100120.7
863	723836280.6
864	723387756.3
865	722967442.2
866	722826327.4
867	722174732.6
868	722040497.7
869	721721268.7
870	721548903.8
871	721431232.9
872	720753404.7
873	720603532.8
874	720494007.6
875	720099758.9
876	719587274
877	719494640.2
878	719432641.2
879	718734570.3
880	718461024.4
881	718253703.6
882	718098152.9
883	717882234.5
884	717784830.8
885	717523902.3
886	717236229.7
887	717181332.4
888	717083274.1
889	716775337.8
890	716665005.7
891	716610032.6
892	716465600.4
893	716233752.9
894	716022409.9
895	715962797.7
896	715748506.6
897	715528215.4
898	715426733
899	715117272.8
900	714659606.7
901	714567281.2
902	714434054.5
903	714284292.9
904	714142123.8
905	714085125.8
906	713576313.9
907	713183742.7
908	713102016.5
909	712691249.6
910	712511178.5
911	712170809.8
912	712010433.4
913	711884250.4
914	711777640.9
915	711665368.9
916	711557636.4
917	711435417.4
918	711377190.2
919	710985707.6
920	710877529.8
921	710820406.7
922	710735981.8
923	710651299.8
924	710598004.6
925	710541234.6
926	710426053.6
927	710074098.5
928	710018741.9
929	709700633.7
930	709165718.7
931	708316509.1
932	708059186.7
933	708004343.1
934	707554063.3
935	707007010.5
936	706956016.2
937	706592224.2
938	706240227.7
939	705786347
940	705483531.3
941	705141194.5
942	705086383.6
943	704904708.9
944	704706264.4
945	704609902.5
946	704556674.3
947	704338649.8
948	704204673.9
949	704118185.9
950	704065537
951	704016491.4
952	703849201.8
953	703521412.4
954	703406268.2
955	703333485.3
956	703217766.7
957	702774526.9
958	702718596.5
959	702667505.4
960	702462215.8
961	702245468.6
962	702012669.5
963	701700459.8
964	701624901.1
965	701174255
966	701090957.3
967	700874828
968	700585557.1
969	700457528.8
970	700402296.7
971	700352230.4
972	700302686.5
973	700012109.9
974	699708167.4
975	699474883
976	699431942.6
977	699340384.6
978	699237848.6
979	698990650.1
980	698620302.6
981	698575268.3
982	698070423.7
983	697631592.5
984	697583217.6
985	697474118.8
986	697405269.8
987	696973870.3
988	696926227
989	696882388
990	696752099.1
991	696060246.3
992	695984782.3
993	695512794.1
994	695300579.2
995	694962591
996	694120726.6
997	693849471.2
998	693329298.9
999	693281639.4
